state,sa_active,sa_active_num,sa_rep,sa_rep_title,sa_rep_region,sa_rep_img,mem_rep,mem_rep_title,mem_rep_region,mem_rep_img,resi_mw,nonresi_mw,utility_mw,state_goals
Tennessee,No,1,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,15,76.9,249.3,"<p class='goal'>Increase engagement in emerging markets; specifically, empower TenneSEIA's role as an advocate in the Tennessee Valley to create increased solar procurement for commercial and industrial energy users.</p><p class='progress'>No update.</p>"
Texas,Yes,1,,,,,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,406.7,170.3,"2,843.80","<p class=""goal"">Defend against elimination of property tax abatement program</p><p class=""progress"">The legislature extended the Chapter 312 program for a period of 10 years. However, the legislature did not act to extend the Chapter 313 program during this year's legislative session.</p><p class=""goal"">Obtain pro-solar outcome in CenterPoint rate design case through co-funding</p><p class=""progress"">Additional briefing was requested prior to Commission decision, expected in December.</p><p class=""goal"">Obtain pro-solar outcome in AEP rate design case through co-funding</p><p class=""progress"">No update.</p><p class=""goal"">Prevent marginal losses from being allocated to generators.</p><p class=""progress"">No Update.</p>"
Utah,Yes,0,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,250.8,93.6,"1,413.30","<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Virginia,Yes,1,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,62.4,65.4,715.5,"<p class='goal'>Robust regulatory engagement with partners in North Carolina and South Carolina on avoided cost, integrated resource planning, and rate design, and continued support of partner organizations in Virginia (legislation to advance distributed generation, provide additional guidance to the State Corporation Commission on approval of utility scale renewables).</p><p class='progress'>SEIA helping to coordinate 2020 policy asks in partnership with MDV SEIA. Industry will be pushing a Clean Energy Standard of 30% by 2030, in parallel with Governor Northam's recent Executive Order.<p class='goal'>Increase engagement in emerging markets; specifically, empower TenneSEIA's role as an advocate in the Tennessee Valley to create increased solar procurement for commercial and industrial energy users. </p><p class='progress'>No update.</p>"
Vermont,Yes,0,Dave Gahl,Senior Director of State Affairs,Northeast,https://www.seia.org/sites/default/files/2017-09/Gahl-Dave-Sep2017.jpg,Khephren Menna,Regional Development Manager,Northeast,https://www.seia.org/sites/default/files/2017-11/Menna-Khephren-Sep17.jpg,70.1,81.3,186.9,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Washington,Yes,0,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,147.4,28.2,28.5,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Wisconsin,Yes,0,Nakhia Morrissette,Regulatory Counsel and Director of State Affairs,Midwest,https://www.seia.org/sites/default/files/2019-03/Example%201.JPG,Antuan Scott,Regional Development Manager,Midwest and Texas,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,23.1,43.2,34.5,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
West Virginia,No,0,Maggie Clark,State Affairs Senior Manager,Southeast,https://www.seia.org/sites/default/files/2017-09/Clark-Maggie-Sep2017.jpg,Rahiem Swann,Regional Development Manager,Southeast,https://www.seia.org/sites/default/files/2019-08/rahiem%20headshot%20sample.jpg,6,2.5, -   ,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
Wyoming,No,0,Sara Birmingham,Senior Director of State Affairs,,https://www.seia.org/sites/default/files/2017-09/Birmingham-Sara-Sep17_0.jpg,Brett Mather,Regional Development Manager,Intermountain West,https://aaronholm.github.io/seia-state_maps/Bret%20Mather%20Headshot.jpg,3.9,1.1,103.9,"<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
United States,,,,,,,Antuan Scott,Regional Development Manager,Intermountain West,https://www.seia.org/sites/default/files/2017-11/Scott-Antuan-Sep17.jpg,"14,778.70","13,426.40","42,652.20","<p class=""goal"">While not an active state for the State Affairs team, we're always monitoring for significant activity and work with partners where available should the need arise.</p>"
